month,monthIndex,supplier,country,commodity,partsReceived,defectCount,defectPpm,otif,riskScore,openCapa,dominantCause,nextAction,dueDate
Dec,12,SUP-ES-02,Spain,Electronics,21110,12,570,97.4,29,0,Inspection,Monitor,
Dec,12,SUP-SK-03,Slovakia,Metal,21940,13,595,97.5,28,0,Packaging,Monitor,
Dec,12,SUP-DE-03,Germany,Electronics,22770,14,620,97.6,27,0,Other,Monitor,
Dec,12,SUP-KR-03,South Korea,Metal,23600,15,645,97.8,25,0,Material,Monitor,
Dec,12,SUP-MA-03,Morocco,Electronics,24430,16,670,98,24,0,Process,Monitor,
Dec,12,SUP-CN-03,China,Metal,25260,18,695,98.2,23,0,Component,Monitor,
Dec,12,SUP-ES-04,Spain,Electronics,26090,19,720,98.4,22,0,Handling,Monitor,
Dec,12,SUP-SK-04,Slovakia,Metal,26920,20,745,98.6,20,0,Design,Monitor,
Dec,12,SUP-DE-04,Germany,Electronics,27750,21,770,98.8,19,0,Inspection,Monitor,
Dec,12,SUP-KR-04,South Korea,Metal,28580,23,795,99,18,0,Packaging,Monitor,
Dec,12,SUP-MA-04,Morocco,Electronics,29410,24,823,95.4,17,0,Other,Monitor,
